county,population,summer_2021_cases,summer_2021_doses_administered,summer_2021_pfizer_doses,summer_2021_moderna_doses,summer_2021_jj_doses,summer_2021_partially_vaccinated,summer_2021_at_least_one_dose,summer_2021_fully_vaccinated,summer_2021_partially_vaccinated_percent,summer_2021_at_least_one_dose_percent,summer_2021_fully_vaccinated_percent,summer_2020_Unemployment_Rate,democrat_votes_percent,green_votes_percent,republican_votes_percent,libertarian_votes_percent,other_votes_percent,summer_2021_cases_per_100000
Santa Barbara,456373,7353,73814,53592,17291,2903,31539,34407,32802,0.076808838,0.672586076,0.603281666,0.095715588,0.648715427,0.004687055,0.32812383,0.012059559,0.006414128,1611.182081
Madera,160089,4070,26578,19347,6242,977,13015,13981,12189,0.068400715,0.511950611,0.452104017,0.123558484,0.431176952,0.004038562,0.54675054,0.011557359,0.006476588,2542.335826
Placer,400434,10087,68779,50269,15340,3170,27474,30602,30434,0.061192864,0.656059167,0.605816716,0.093817787,0.454599207,0.003313709,0.521039288,0.016793997,0.004253799,2519.016867
Stanislaus,562303,16293,110403,79620,27945,2810,54378,57152,49515,0.089024497,0.565947402,0.483581525,0.128844555,0.492389069,0.003451901,0.484499009,0.011602482,0.008057538,2897.548119
Sutter,105747,3328,20215,12730,6707,775,9573,10344,9665,0.079355808,0.57230474,0.506393942,0.116883117,0.407255417,0.003189194,0.571592721,0.012217428,0.00574524,3147.134198
Tuolumne,52351,2158,7808,3800,3592,416,3737,4159,3209,0.059834607,0.527516131,0.471389898,0.122156281,0.393909498,0.004768482,0.581721915,0.01443699,0.005163115,4122.175317
Kings,156444,6207,24836,17106,6941,787,12603,13382,11298,0.068672331,0.423654839,0.36173913,0.124113475,0.426324069,0.002849912,0.548824696,0.013770776,0.008230546,3967.553885
Fresno,1032227,25251,199584,148324,45665,5541,94101,99536,91887,0.0801509,0.581665014,0.511690675,0.129931973,0.5289559,0.004039275,0.450688787,0.011046348,0.005269691,2446.264242
Napa,139652,2248,22110,16488,4785,837,8582,9366,9147,0.08523447,0.755418772,0.679200171,0.106321839,0.69046431,0.004296604,0.286569647,0.012668053,0.006001386,1609.715579
Monterey,448732,3554,81218,54842,23870,2449,36837,39235,37533,0.076230575,0.679471021,0.610560188,0.103967168,0.695161753,0.004569218,0.282443586,0.011102774,0.006722669,792.0094845
Lake,64871,2344,12406,6455,5321,630,5985,6606,5598,0.068669327,0.545363846,0.481340026,0.109791217,0.518568652,0.007184506,0.455469943,0.012980702,0.005796196,3613.324906
Modoc,9475,56,1070,431,550,89,450,539,527,0.036697248,0.403781607,0.370888342,0.07788162,0.264793921,0.003453834,0.71586461,0.008979968,0.006907668,591.0290237
Sacramento,1567975,38259,292234,210584,70653,10955,125608,136413,136147,0.066134092,0.640608123,0.584636128,0.120679966,0.613562719,0.004529258,0.361067034,0.013598909,0.00724208,2440.026148
Ventura,852747,12343,146787,109538,31662,5548,61805,67275,66529,0.065045654,0.68279897,0.625878422,0.112426036,0.594543842,0.004176669,0.383626796,0.011988411,0.005664282,1447.439862
San Mateo,778001,8141,109239,86264,18278,4639,39449,44011,46173,0.059420186,0.78731485,0.733511329,0.093793747,0.778878346,0.004261846,0.201960716,0.009496301,0.005402791,1046.399683
Humboldt,134098,3520,23101,15476,5976,1622,9441,11041,10283,0.066068588,0.632917919,0.574885098,0.10652921,0.650291242,0.009078628,0.316226777,0.016443211,0.007960141,2624.945935
Riverside,2468145,51159,484925,368177,103566,13024,219522,232449,223225,0.074783303,0.580771254,0.517260623,0.131731117,0.529846885,0.003381617,0.450425009,0.009998436,0.006348054,2072.771251
Yolo,223612,4161,32111,22998,7913,1195,13511,14684,14258,0.069733041,0.683412644,0.61938719,0.091341579,0.694780768,0.005622135,0.280510617,0.01239542,0.00669106,1860.812479
Santa Cruz,273999,3044,39168,27837,9803,1523,15515,16991,17659,0.058163023,0.71392983,0.663083301,0.106161841,0.788790157,0.007332381,0.185981483,0.01176495,0.00613103,1110.95296
Orange,3228519,37859,571130,423281,129367,18385,235894,254031,257639,0.065488964,0.690090519,0.63405708,0.123227352,0.53478881,0.003822975,0.444446634,0.011382204,0.005559377,1172.642936
Tulare,484423,12571,89484,65164,22330,1976,44705,46634,40323,0.07449232,0.506131685,0.439248866,0.149489796,0.450045954,0.003288287,0.528161487,0.010198455,0.008305817,2595.046065
Alpine,1117,13,72,10,62,0,22,22,7,0.085365854,0.691637631,0.606271777,0.152173913,0.642375169,0.005398111,0.32928475,0.020242915,0.002699055,1163.831692
Mariposa,17795,529,1795,1059,633,103,894,993,753,0.145267959,0.503876853,0.35940707,0.112771739,0.39766537,0.003793774,0.578793774,0.015077821,0.004669261,2972.745153
Amador,38531,1319,4960,2686,1875,399,2266,2673,2199,0.088794311,0.570673293,0.488170451,0.115891742,0.365539813,0.004931851,0.609083572,0.015647418,0.004797346,3423.217669
Sierra,3115,71,313,213,77,20,152,172,143,0.036177474,0.530716724,0.501365188,0.087301587,0.378042465,0.006732263,0.591403418,0.013982393,0.009839461,2279.29374
San Luis Obispo,278862,6363,42965,28006,12923,2028,16686,18675,18278,0.067037359,0.631809703,0.571075305,0.098634294,0.552925855,0.004971386,0.422229736,0.01507695,0.004796073,2281.773781
San Bernardino,2217398,44365,421309,321950,87862,11455,196897,208192,200728,0.067551336,0.542368619,0.485055116,0.12686722,0.54196022,0.004302545,0.435434475,0.010451417,0.007851343,2000.768468
Merced,287420,7801,52212,38704,12374,1107,26453,27557,22855,0.100581622,0.523132955,0.426710025,0.13898917,0.541014201,0.004284736,0.435066369,0.01039159,0.009243104,2714.146545
Solano,444255,9590,79880,59549,17701,2620,34998,37589,36183,0.100672702,0.665078786,0.574676761,0.120868278,0.639406053,0.004653264,0.336637895,0.012021741,0.007281046,2158.670133
Glenn,29348,778,5031,3868,872,290,2431,2719,2426,0.053876761,0.518801305,0.471556081,0.101556102,0.353633708,0.003009649,0.625210233,0.011330442,0.006815969,2650.947254
Mendocino,88439,2623,16366,10675,5108,583,7405,8004,6783,0.087586649,0.666720048,0.588375924,0.108843537,0.664097831,0.009090909,0.306114444,0.013636364,0.007060452,2965.886091
Los Angeles,10257557,171012,1897839,1383746,447813,65534,826186,890537,868421,0.077416119,0.684313965,0.614606362,0.178748553,0.710278084,0.005079303,0.268628506,0.008313547,0.00770056,1667.180597
Yuba,79290,2979,15180,8855,5432,889,7334,8215,7303,0.066350523,0.469950856,0.414502007,0.122516556,0.376896228,0.004161632,0.593233991,0.017116391,0.008591757,3757.094211
Marin,260800,2514,35929,26133,7935,1857,10368,12174,12518,0.053254961,0.821786819,0.772677155,0.090557276,0.823256112,0.004646089,0.157941346,0.009856895,0.004299557,963.9570552
Del Norte,27558,1944,4723,2617,1723,368,2160,2526,2035,0.073694574,0.465103559,0.404645566,0.110869565,0.408364621,0.006810443,0.564131669,0.013097005,0.007596263,7054.212933
Santa Clara,1967585,20675,278515,213174,54517,10742,104754,115352,126255,0.049446468,0.794698783,0.751391114,0.093169533,0.726386762,0.004748801,0.25226479,0.010732996,0.00586665,1050.780525
Kern,927251,20502,170103,116642,47716,5721,83826,89471,78340,0.073243622,0.502404725,0.437491294,0.151962075,0.436847346,0.003517943,0.538775992,0.012912228,0.007946491,2211.051808
Nevada,98710,3270,14262,9318,4103,826,5898,6718,6155,0.074223953,0.624530739,0.559076414,0.10028096,0.561528958,0.005328185,0.41357529,0.01419305,0.005374517,3312.734272
Tehama,65885,2361,9176,4873,3846,456,4557,5011,4273,0.048222429,0.409717072,0.365755132,0.103146157,0.310152797,0.003132505,0.666214194,0.014026661,0.006473844,3583.516734
San Joaquin,782545,19693,149114,108997,36855,3258,72054,75379,68001,0.089513693,0.607341863,0.525216741,0.138419783,0.556064752,0.003671738,0.417894893,0.010107633,0.012260983,2516.532596
